02000C34  [SDK+Abiosso:libVCT 1.3.1]
023D1D29  Steel Lance
023D1D35  Silv. Lance
023D1D49  Killer Lance
023D1D56  Wing Spear
023D1D77  Brv. Lance
023D1D8B  Iron Axe
023D1D94  Steel Axe
023D1D9E  Silver Axe
023D1DA9  Hand Axe
023D1DB9  Killer Axe
023D1DCB  Devil Axe
023D1DD5  Brave Axe
023D1DEA  Iron Bow
023D1DF3  Steel Bow
023D1DFD  Silver Bow
023D1E08  Killer Bow
023D1E1B  Brave Bow
023D1F20  Door Key
023D1F29  Bridge Key
023D1F34  Master Key
023D1F49  Pure Water
023D1F54  Energy Drop
023D1F60  Spirit Dust
023D1F6C  Secret Book
023D1FB9  Arms Scroll
023D1FC5  Silver Card
023D1FD1  VIP Card
023D1FDA  Master Seal
023D1FE6  Elysian Whip
023D1FF9  Iote's Shield
023D2028  Fire Emblem
023D2034  Bullion (S)
023D2040  Bullion (M)
023D204C  Bullion (L)
023D2058  Bullion (XL)
023D20A5  Free Units
023D2110  Order All
023D217F  Pick Units
023D218A  View Map
023D224A  You have reached the
023D225F  maximum name length.
023D2274  Save the game in progress?
023D228F  (Resuming later will erase this data.)
023D22C1  Exit practice mode?
023D22D5  Suspend data will be lost. Proceed?
023D22F9  Save here?
023D2304  Previous data will be overwritten.
023D2327  Proceed without saving?
023D233F  Copy data?
023D236D  Erase this data?
023D237E  This will erase all save data,
023D239D  including your Nintendo WFC
023D23B9  information. This includes your
023D23D9  Friend Code, Nintendo WFC
023D23F3  Friends, and all squads that
023D2410  you have created and received.
023D242F  Do you wish to proceed?
023D2447  Are you sure you want to erase all data?
023D2470  End communications?
023D2484  Proceed to the next chapter?
023D24A1  Make this unit a decoy?
023D24B9  Conclude preparations?
023D24D0  Cancel these changes?
023D24E6  Are you sure?
023D24F4  Send this item to the convoy?
023D2512  Discard this item?
023D2525  Change orders to your units?
023D2542  Use the Fortify staff?
023D2559  Use the Aum staff?
023D2578  Fight another round?
023D258D  Merge these items?
023D25B3  (Surplus uses will be lost.)
023D25D0  Store all items in the convoy?
023D2600  Turn on game-play tutorials?
023D261D  (You can change this setting later.)
023D2642  Play with the fog of war?
023D265C  (Fog of war is disabled for the enemy.)
023D2684  Choose an enemy level.
023D269B  (More stars means stronger foes.)
023D26EA  Display a list of your units.
023D2708  Review tutorials on how the game is played.
023D2734  Adjust game options.
023D2749  Review the actions you have taken so far.
023D2773  Suspend the game.
023D2785  Surrender and end wireless play.
023D27A6  Exit this practice session.
023D27C2  End the player phase. The enemy will move next.
023D27F2  Talk to a neighboring unit. (Shortcuts: 
023D2826  Attack with an available weapon. (Shortcuts: 
023D285F  Use an available staff. (Shortcuts: 
023D288F  Use, discard, or otherwise manage items.
023D28B8  Trade items with a neighboring unit.
023D28DD  Visit this village or home.
023D28F9  Open this door so units can pass through.
023D2923  Lower this drawbridge so units can cross it.
023D2950  Open this chest and claim the item inside.
023D297B  Visit the armory to buy and sell weapons.
023D29A5  Visit the vendor to buy and sell magic tomes, staves, and items.
023D29E6  Visit this hidden shop to buy and sell weapons and items.
023D2A20  Visit the arena to test your might with gold at stake.
023D2A57  Summon the convoy to store and retrieve items.
023D2A86  Issue orders to all units at once.
023D2AA9  Tell a unit how to behave when not given a command.
023D2ADD  End the battle by securing this vital position.
023D2B0D  Save your progress. You can only use this savepoint once.
023D2B47  Transform into a neighboring allied unit. The transformation lasts five turns.
023D2B96  End this unit's turn.
023D2BAC  Use this unit as a decoy.
023D2BC6  Order units to stay put unless otherwise instructed.
023D2BFB  Order units to attack nearby enemies unless otherwise instructed.
023D2C3D  Order units to protect Marth unless otherwise instructed.
023D2C77  Order units to stay with Marth unless otherwise instructed.
023D2CB3  Order units to stay out of enemy range unless otherwise instructed.
023D2CF7  Select one unit to resurrect.
023D2D15  Select a destination.
023D2D2B  Select a target. (Change weapons with 
023D2D60  Select a target. (Change staves with 
023D2D94  Select a target.
023D2DA5  Select two units to have them trade starting positions.
023D2DDD  Too many items. Send
023D2DF2  one to the convoy.
023D2E05  Too many items.
023D2E15  Choose one to discard.
023D2E2C  Select units to send into
023D2E46  this chapter's battle.
023D2E5D  Only a certain number
023D2E73  of units can fight in
023D2E89  each battle, and Marth
023D2EA0  must be one of them.
023D2ECF  battle. You can deploy
023D2EE6  up to five units.
023D2EF8  Check battlefield terrain
023D2F12  and the enemy units you
023D2F2A  will be facing. You can
023D2F42  also reposition your own
023D2F5B  units, except Marth,
023D2F70  whose position is fixed.
023D2F89  Manage the items your
023D2F9F  units are carrying.
023D2FB3  (Any commands that are
023D2FCA   greyed out cannot be
023D2FE0   used at this time.)
023D2FF5  Assign a new class to a
023D300D  unit. Some classes may
023D3024  not be available.
023D3036  Purchase weapons,
023D3048  staves, or magic tomes
023D305F  or sell unwanted items.
023D3077  You can also craft
023D308A  stronger weapons at
023D309E  the forge.
023D30A9  Adjust game options like
023D30C2  brightness and sound.
023D30D8  Save the preparations
023D30EE  you have made.
023D30FD  Begin the battle.
023D3110  (You can also press
023D3124   START to begin.)
023D3136  End your preparations.
023D3162   START when finished.)
023D317F  You can pick 
023D3195  Select units to deploy. (R Button: Unit List)
023D31C3  Select a unit.
023D31D2  View a full list of items available for trade.
023D3201  Trade items with another unit.
023D3220  Select someone to trade with.
023D323E  Equip or discard items.
023D3256  Combine two identical items to restore uses.
023D3283  Store and retrieve items in the convoy.
023D32AB  Store all this unit's items in the convoy.
023D32E5  Available Classes
023D32FE  Select a save file.
023D3312  As the game progresses, tutorials like
023D3339  the one on the top screen will appear to
023D3362  walk you through how to play.
023D3390   from the System menu to
023D33A9  review tutorials you have already seen.
023D33D1  Touch icons appear when you
023D33ED  touch the Touch Screen.
023D3405  If you press a button, they'll disappear.
023D342F  Move Marth farther down the corridor.
023D3455  Attack an enemy soldier.
023D346E  Defeat the soldier guarding the throne.
023D3496  First, touch Marth.
023D34AA  First, select Marth with the cursor and press 
023D34DE  Marth can move anywhere within the blue area.
023D350C  Slide the stylus onto the space you want him to move to.
023D3545  Select the space you want him to move to, then press 
023D3580  Marth can only move to spaces inside the blue area.
023D35B4  Marth can attack any enemy in a red space.
023D35DF  Move Marth onto the throne, then select 
023D3610   from the menu.
023D3620  Use the stylus to touch the enemy you want to attack.
023D3656  Select the enemy you want to attack, then press 
023D368C  Marth dies
023D36A0  Defeat boss
023D36AC  Rout enemy
023D36BD  Defend base
023D36CB  0 remaining
023D37AF  Arch. League
023D37F3  Sable Order
023D380A  Galder Pirates
023D382D  House Macedon
023D383B  Blue Army
023D3845  Red Army
023D3869  Please adjust your game settings below.
023D3907  Game Speed
023D3912  Message Speed
023D3920  Skip Enemy Act.
023D394B  Autoend Turns
023D3963  Help Captions
023D3971  HP Gauges
023D397B  Sound Output
023D398E  Sound Effects
023D399C  Map Brightness
023D39B0  Turn top-screen combat animations on or off.
023D39DD  Adjust how quickly the game progresses.
023D3A05  Adjust how quickly text messages display.
023D3A2F  Select the enemy actions you'd like to skip.
023D3A5C  Set your preferred control method.
023D3A7F  Turn orders on or off.
023D3A96  Set the cursor to start on Marth each turn.
023D3AC2  Set turns to end once all units have moved.
023D3AEE  Turn in-game tutorials on or off.
023D3B10  Turn help captions on or off.
023D3B2E  Turn mini HP gauges on or off.
023D3B4D  Adjust sound-output settings.
023D3B6B  Turn music on or off.
023D3B81  Turn sound effects on or off.
023D3B9F  Adjust brightness of maps.
023D3BBA  Adjust opacity of map grid.
023D3BDF  The host is setting the rules...
023D3C00  Create Room
023D3C0C  Use voice chat
023D3C1B  Don't use voice chat
023D3C34  Fog of War
023D3C3F  Turn Limit
023D3C4A  Time Per Turn
023D3C75  Select a map on which to wage battle.
023D3C9B  Limit visibility to spaces surrounding your units.
023D3CCE  Set the maximum number of turns.
023D3CEF  Set the time limit for each turn.
023D3D11  Turn the use of cards on or off.
023D3D32  Set units to level up based on opponent's skill.
023D3D63  Hold down the L Button to use the microphone.
023D3D91  Your opponent has voice chat disabled.
023D3DEF  Ch. 99 - Debug Map
023D3E02  Ch. 1 - Marth Embarks
023D3E18  Ch. 2 - The Pirates of Galder
023D3E36  Ch. 3 - A Brush in the Teeth
023D3E53  Ch. 4 - Battle in the Lea
023D3E6D  Ch. 5 - Champions of Aurelis
023D3E8A  Ch. 6 - Fire Emblem
023D3E9E  Ch. 7 - Lefcandith Gauntlet
023D3EBA  Ch. 8 - Port Warren
023D3ECE  Ch. 9 - The Pyrathi Dragon
023D3EE9  Ch. 10 - Princess Minerva
023D3F03  Ch. 11 - Knorda Market
023D3F1A  Ch. 12 - The Ageless Palace
023D3F36  Ch. 13 - The Wooden Cavalry
023D3F52  Ch. 14 - Land of Sorrow
023D3F6A  Ch. 15 - An Oasis of Magic
023D3F85  Ch. 16 - The Battle for Altea
023D3FA3  Ch. 17 - Star and Savior
023D3FBC  Ch. 18 - The Sable Order
023D3FD5  Ch. 19 - Manakete Princess
023D3FF0  Ch. 20 - Camus the Sable
023D4009  Ch. 21 - Clash in Macedon
023D4023  Ch. 22 - A Knight-Filled Sky
023D4040  Ch. 23 - Dark Pontifex
023D4057  Ch. 24 - The Dragonkin Realm
023D4074  Endgame - Chosen by Fate
023D408D  Ch. 6x - In War's Grip
023D40A4  Ch. 12x - A Traitor's Worth
023D40C0  Ch. 17x - Helena Castle
023D40D8  Ch. 20x - The Lair of Fire
023D40F3  Ch. 24x - The Alterspire
023D410C  Prologue I
023D4117  Prologue II
023D4123  Prologue III
023D4130  Prologue IV
023D414D  Arena II
023D4156  Arena III
023D4160  Arena IV
023D4171  Arena VI
023D417A  Ch. 99            Debug Map
023D4196  Ch. 1         Marth Embarks
023D41B2  Ch. 2 The Pirates of Galder
023D41CE  Ch. 3   A Brush in the Teeth
023D41EB  Ch. 4       Battle in the Lea
023D4209  Ch. 5   Champions of Aurelis
023D4226  Ch. 6             Fire Emblem
023D4244  Ch. 7    Lefcandith Gauntlet
023D4261  Ch. 8            Port Warren
023D427E  Ch. 9    The Pyrathi Dragon
023D429A  Ch. 10     Princess Minerva
023D42B6  Ch. 11       Knorda Market
023D42D1  Ch. 12   The Ageless Palace
023D42ED  Ch. 13 The Wooden Cavalry
023D4307  Ch. 14      Land of Sorrow
023D4322  Ch. 15    An Oasis of Magic
023D433E  Ch. 16 The Battle for Altea
023D435A  Ch. 17     Star and Savior
023D4375  Ch. 18      The Sable Order
023D4391  Ch. 19   Manakete Princess
023D43AC  Ch. 20      Camus the Sable
023D43C8  Ch. 21     Clash in Macedon
023D43E4  Ch. 22   A Knight-Filled Sky
023D4401  Ch. 23        Dark Pontifex
023D441D  Ch. 24 The Dragonkin Realm
023D4438  Endgame      Chosen by Fate
023D4454  Ch. 6x          In War's Grip
023D4472  Ch. 12x  A Traitor's Worth
023D448D  Ch. 17x        Helena Castle
023D44AA  Ch. 20x    The Lair of Fire
023D44C6  Ch. 24x       The Alterspire
023D44E3                         Prologue I
023D4505                        Prologue II
023D4527                        Prologue III
023D454A                       Prologue IV
023D456B                           Epilogue
023D458D                          NO DATA
023D45AD  Chapter 99
023D45B8  Chapter 1
023D45C2  Chapter 2
023D45CC  Chapter 3
023D45D6  Chapter 4
023D45E0  Chapter 5
023D45EA  Chapter 6
023D45F4  Chapter 7
023D45FE  Chapter 8
023D4608  Chapter 9
023D4612  Chapter 10
023D461D  Chapter 11
023D4628  Chapter 12
023D4633  Chapter 13
023D463E  Chapter 14
023D4649  Chapter 15
023D4654  Chapter 16
023D465F  Chapter 17
023D466A  Chapter 18
023D4675  Chapter 19
023D4680  Chapter 20
023D468B  Chapter 21
023D4696  Chapter 22
023D46A1  Chapter 23
023D46AC  Chapter 24
023D46B7  the Endgame
023D46C3  Chapter 6x
023D46CE  Chapter 12x
023D46DA  Chapter 17x
023D46E6  Chapter 20x
023D46F2  Chapter 24x
023D46FE  the Prologue
023D4732  An affordable sword that is easy to wield.
023D475D  A weighty but more powerful sword.
023D4780  A sword whose mighty blows offset its steep price.
023D47B3  A sword whose design yields frequent critical hits.
023D47E7  A sword of lightning used to attack indirectly.
023D4817  A mighty but cursed sword known to harm its user.
023D4849  A sword effective against dragons.
023D486C  A sword effective against armored units.
023D4895  A powerful blade, and regalia of House Archanea.
023D48C6  Strong against cavalry/armored units. For Marth.
023D48F7  A foreign sword that yields frequent critical hits.
023D492B  A sword with which the wielder always strikes twice.
023D4960  A gift from the Divine Dragon King. For Marth.
023D49ED  An affordable lance that is easy to wield.
023D4A18  A weighty but more powerful lance.
023D4A3B  A lance whose mighty blows offset its steep price.
023D4A6E  A throwing spear used to attack enemies indirectly.
023D4AA2  A lance whose design yields frequent critical hits.
023D4AD6  A lance effective against cavalry.
023D4AF9  Strong against cavalry/armored units. For Caeda.
023D4B2A  A lance effective against dragons.
023D4B4D  A lance with which the wielder always strikes twice.
023D4B82  A mighty lance, and regalia of House Archanea.
023D4BB1  An affordable axe that is easy to wield.
023D4BDA  A weighty but more powerful axe.
023D4BFB  An axe whose mighty blows offset its steep price.
023D4C2D  A throwing axe used to attack enemies indirectly.
023D4C5F  An axe whose design yields frequent critical hits.
023D4C92  An axe weapon effective against armored units.
023D4CC1  An axe weapon effective against cavalry.
023D4CEA  A mighty but cursed axe known to harm its user.
023D4D1A  An axe with which the wielder always strikes twice.
023D4D4E  A formidable axe whose power is second to none.
023D4D7E  An affordable bow that is easy to wield.
023D4DA7  A weighty but more powerful bow.
023D4DC8  A bow whose might offsets its steep price.
023D4DF3  A bow whose design yields frequent critical hits.
023D4E25  A bow with great range used to strike distant foes.
023D4E59  A bow with which the wielder always strikes twice.
023D4E8C  A formidable bow, and regalia of House Archanea.
023D4EBD  A ballista strong against fliers.
023D4EDF  A ballista for striking distant enemies.
023D4F31  A magical ballista strong against ballisticians.
023D4F8B  A stone used to transform into a fire dragon.
023D4FB9  A stone used to transform into an earth dragon.
023D4FE9  A stone used to transform into a mage dragon.
023D5017  A divine dragonstone effective against Manaketes.
023D5049  Magic used to attack with flames.
023D506B  Magic used to attack with lightning.
023D5090  Potent magic used to attack with ice.
023D50B6  Potent magic used to attack with flames.
023D50DF  Dark magic that nullifies all attacks on its bearer.
023D5114  Superior magic used to attack with flames.
023D513F  Superior magic used to attack with lightning.
023D516D  Magic used to attack a distant enemy.
023D5193  Light magic for women (Linde can use at level E).
023D51C5  Wind magic for men (Merric can use at level E).
023D522A  The sole magic capable of thwarting Imhullu's power.
023D525F  A staff used to restore HP to an adjacent ally.
023D528F  Greatly restores HP to an adjacent ally.
023D52B8  Completely restores HP to an adjacent ally.
023D52E4  A staff used to restore HP to a distant ally.
023D5312  A staff used to restore HP to all allies.
023D533C  Transports an adjacent ally to another location.
023D541A  A key used to open a door.
023D5435  A key used to lower a drawbridge.
023D5457  A key effective on any locked door, chest, or
023D548D  Medicine that restores HP.
023D54A8  Medicine that boosts resistance.
023D54C9  The effect lessens with each passing turn.
023D54F4  An item that increases strength by 2.
023D551A  An item that increases magic by 2.
023D553D  An item that increases skill by 2.
023D5560  An item that increases speed by 2.
023D5583  An item that increases luck by 2.
023D55A5  An item that increases defense by 2.
023D55CA  An item that increases resistance by 2.
023D55F2  An item that increases maximum HP by 7.
023D561A  An item that increases movement by 2.
023D5640  An item that increases a unit's weapon level for
023D5671  whatever weapon or magic is equipped.
023D5697  A card whose bearer can purchase weapons and
023D56C4  items at half price.
023D56D9  A card that grants the bearer purchasing privileges
023D570D  at special shops.
023D571F  An item that promotes a lesser-class unit at level
023D5752  10 or above to a higher class.
023D5771  An item that promotes a pegasus knight at level 10
023D57A4  or above to falcoknight.
023D57BD  A helpful item that lights the surrounding area.
023D57EE  Its effect lessens with each passing turn.
023D5819  A shield that negates bonus damage to the flier who
023D584D  carries it.
023D5859  Needed to create a blast of Starlight.
023D5880  Carrying it nullifies the effects of terrain.
023D58AE  Needed to create a blast of Starlight. Carrying
023D58DE  it prevents the depletion of magic and weapons.
023D590E  An orb that deals damage evenly to all units.
023D593C  A gift from House Archanea. Its bearer is granted
023D596E  access to the treasure chests throughout the land.
023D59A1  A small lump of gold that fetches 10,000G at
023D59D6  A lump of gold that fetches 15,000G at market.
023D5A05  A large lump of gold that fetches 20,000G at
023D5A3A  A huge lump of gold that fetches 30,000G at
023D5A6E  Unable to load data.
023D5A83  Please turn the power off, reinsert
023D5AA7  the Game Card, and try again.
023D5AC5  Unable to save data.
023D5B1C  A portion of your save data is corrupt
023D5B43  and will be deleted.
023D5B58  Error Code:
023D5B64  You do not have a friend code.
023D5B83  Your friend code will be generated
023D5BA6  once you connect to Nintendo Wi-Fi
023D5BD5  You cannot enter your own
023D5BEF  friend code.
023D5BFC  The friend code you entered is
023D5C1B  already registered on your
023D5C36  friend roster.
023D5C45  This friend code is incorrect.
023D5C64  Please check that you have not
023D5C83  made a mistake when entering it.
023D5CA4  OK to delete friend information?
023D5CC5  Unable to connect to Nintendo Wi-Fi
023D5CE9  Connection. For help, check the
023D5D09  software Instruction Booklet, or visit
023D5D46  Either Nintendo Wi-Fi Connection
023D5D67  is experiencing high traffic volumes
023D5D8C  or the service is down. Please try
023D5DAF  again later. For help, visit
023D5DE2  This Nintendo Wi-Fi Connection ID
023D5E04  was removed because it was
023D5E1F  inactive for a long time. For help,
023D5E43  visit support.nintendo.com.
023D5E5F  Nintendo Wi-Fi Connection service for
023D5E85  this software has been discontinued.
023D5EAA  Visit support.nintendo.com
023D5EC5  for a list of current Nintendo
023D5EE4  Wi-Fi Connection-compatible software.
023D5F0A  The access point is busy. You cannot
023D5F2F  connect. Try again later. For help,
023D5F6F  No access point in range. Please
023D5F90  try again when closer to an
023D5FAC  access point. For help, visit
023D5FE0  No compatible access point
023D5FFB  in range. Check your connection
023D601B  settings and try again. For help,
023D6059  Unable to connect to the Nintendo
023D607B  Wi-Fi USB Connector. Confirm
023D6098  connection settings in the Nintendo
023D60BC  Wi-Fi Connection setup. For help,
023D60FA  Unable to connect to
023D610F  Nintendo Wi-Fi Connection.
023D612A  Confirm connection settings
023D6146  and access-point settings.
023D6161  For help, visit support.nintendo.com.
023D6187  There is no response. Either
023D61A4  the player is not connected to
023D61C3  Nintendo Wi-Fi Connection or
023D61E0  you have been removed from
023D61FB  the player's friend roster.
023D6217  Communication error. You
023D6230  have been disconnected from
023D628D  Download failed.
023D62C4  Communication error.
023D6300  Your Nintendo Wi-Fi Connection
023D631F  User Information may have been
023D633E  erased. Check your connection
023D635C  settings. For help,
023D638C  Connect to Nintendo Wi-Fi
023D63B2  Nintendo Wi-Fi Connection treats
023D63D3  your Nintendo DS Game Card and
023D63F2  Nintendo DS as a set.
023D6408  Save this Nintendo DS system's
023D6427  Nintendo Wi-Fi Connection User
023D6446  Information to this Game Card and
023D6468  connect to Nintendo Wi-Fi Connection?
023D64AD  Information for this Nintendo DS has
023D64D2  been saved to the Game Card.
023D64EF  From now on, please use this
023D650C  Nintendo DS to connect to
023D6541  Unable to connect to Nintendo
023D655F  Wi-Fi Connection because the
023D659B  Information from the Nintendo DS
023D65BC  and the Game Card do not match.
023D65DC  Update Nintendo Wi-Fi Connection
023D65FD  User Information saved on the
023D661B  Game Card?
023D6626  When you update your Nintendo
023D6644  Wi-Fi Connection User Information,
023D6667  you will lose all data used to connect
023D668E  to Nintendo Wi-Fi Connection.
023D66AC  Even if you update Nintendo Wi-Fi
023D66CE  Connection User Information,
023D66EB  your friend roster will be saved.
023D670D  However, your friends will have
023D672D  to reregister your new friend code.
023D6751  Do you still want to update?
023D676E  Connecting to Nintendo Wi-Fi
023D6799  Please wait a moment...
023D67B1  You cannot access Nintendo
023D67CC  Wi-Fi Connection using this
023D67E8  user name. Please change
023D6801  your user name and try again.
023D681F  OK to disconnect from Nintendo
023D683E  Wi-Fi Connection?
023D6850  Disconnecting from Nintendo
023D686C  Wi-Fi Connection...
023D6880  You have been disconnected from
023D68BB  A connection error has occurred.
023D68FD  Please turn the power off and
023D691B  try again.
023D6926  Other player has disconnected.
023D6945  Unable to join the match.
023D695F  Please select how you would like
023D6980  opponents to be chosen.
023D6998  Please enter a friend code.
023D69B4  Please create/select a room.
023D69D1  Waiting for connection...
023D69EB  Please set voice-chat options.
023D6A0A  Awaiting opponent response...
023D6A48  Download has been canceled.
023D6A64  Awaiting server response...
023D6A80  Unable to connect to the server.
023D6AA1  Connection to the server has been
023D6ACD  Unable to retrieve data.
023D6AFB  Transmitting data...
023D6B10  Data transmission failed.
023D6B2A  Unable to retrieve the list of
023D6B56  Your opponent has surrendered.
023D6B75  Waiting for room to be finalized...
